Category,Country,Customer ID,Order Date,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Sports,Canada,7262,11/10/23,685,No,1,Standard,8.00%,$932.00 ,$255 ,1,3,$28.40 ,$1K
Electronics,UK,1266,6/19/23,560,No,5,Next Day,28.00%,$436.80 ,$349 ,10,0,$16.20 ,$3K
Electronics,UK,3793,12/9/23,630,Yes,3,Express,8.00%,$930.80 ,$360 ,3,2,$35.60 ,$3K
Sports,France,2526,8/26/23,193,No,1,Standard,18.00%,$11.70 ,$5 ,2,2,$27.40 ,$0K
Electronics,USA,3355,6/26/23,836,Yes,2,Standard,38.00%,$554.10 ,$482 ,5,2,$19.40 ,$2K
Clothing,USA,2171,7/19/23,764,No,2,Next Day,6.00%,$839.80 ,"$1,558 ",10,1,$9.20 ,$8K
Electronics,UK,8861,12/3/23,708,No,2,Next Day,15.00%,$603.10 ,$347 ,6,0,$42.80 ,$3K
Home,UK,5045,7/3/23,360,Yes,4,Standard,29.00%,$856.00 ,$600 ,5,1,$7.90 ,$3K
Electronics,UK,5169,6/19/23,10,No,4,Express,7.00%,$193.60 ,$425 ,9,5,$29.10 ,$2K
Clothing,Germany,5765,7/1/23,724,No,3,Express,34.00%,$269.30 ,$192 ,6,1,$27.80 ,$1K
Home,France,5161,3/26/23,278,Yes,2,Next Day,28.00%,$102.00 ,$73 ,6,1,$42.20 ,$0K
Clothing,USA,5469,4/10/23,755,No,1,Next Day,18.00%,$105.60 ,$113 ,5,0,$31.70 ,$0K
Sports,UK,5179,2/11/23,805,No,2,Next Day,29.00%,$707.90 ,$433 ,4,5,$47.10 ,$2K
Home,Canada,3144,5/20/23,600,Yes,5,Next Day,34.00%,$97.10 ,$43 ,3,4,$39.20 ,$0K
Sports,Germany,9762,5/22/23,71,Yes,5,Standard,17.00%,$741.00 ,$158 ,2,2,$34.70 ,$1K
Sports,Canada,8326,9/25/23,473,No,4,Express,33.00%,$751.60 ,$401 ,4,2,$14.60 ,$2K
Books,UK,9117,1/3/23,601,Yes,1,Next Day,25.00%,$70.50 ,$16 ,3,2,$25.80 ,$0K
Books,UK,1804,4/19/23,397,Yes,3,Next Day,19.00%,$125.30 ,$72 ,7,3,$30.30 ,$1K
Books,France,8578,5/8/23,315,Yes,5,Standard,34.00%,$314.10 ,$430 ,10,0,$6.50 ,$2K
Books,UK,9872,12/21/23,706,No,5,Next Day,26.00%,$73.80 ,$56 ,5,3,$7.60 ,$0K
Home,USA,7970,11/15/23,487,Yes,1,Next Day,13.00%,$818.10 ,$434 ,3,4,$15.90 ,$2K
Clothing,USA,2503,11/12/23,552,Yes,4,Next Day,6.00%,$467.70 ,$50 ,1,1,$3.30 ,$0K
Home,USA,3065,11/4/23,88,Yes,2,Standard,33.00%,$20.00 ,$14 ,6,0,$34.30 ,$0K
